Ward name,New code,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Rate of JobSeekers Allowance (JSA) Claimants - 2015,Crime rate - 2014/15,Violence against the person rate - 2014/15,"Deliberate Fires per 1,000 population - 2014",% area that is open space - 2014,
Hackney - Lordship,E05000243,3650,8000.00,1050.00,28.60,63.20,8.20,3.00,66.50,20.60,0.20,33.60,
Hackney - New River,E05000244,4250,9150.00,1100.00,29.20,63.20,7.50,3.50,63.10,24.00,0.50,28.00,
Hackney - Queensbridge,E05000245,2400,10850.00,1200.00,16.60,75.20,8.10,4.00,116.80,28.80,0.40,15.60,
Hackney - Springfield,E05000246,4200,7650.00,950.00,32.70,59.80,7.50,4.40,73.70,25.40,0.30,26.50,
Hackney - Stoke Newington Central,E05000247,2100,9950.00,1000.00,16.10,76.20,7.80,3.00,93.30,27.70,0.20,13.30,
Hackney - Victoria,E05000248,2750,9950.00,1050.00,20.10,72.40,7.50,3.90,93.00,29.10,0.60,21.00,
Hackney - Wick,E05000249,2600,8800.00,950.00,20.90,71.40,7.70,4.30,99.80,36.90,0.60,48.80,
Hammersmith and Fulham - Addison,E05000250,1850,8850.00,900.00,16.10,76.00,7.90,2.60,107.40,24.40,0.10,0.30,
Hammersmith and Fulham - Askew,E05000251,2550,10550.00,1200.00,17.80,73.80,8.40,4.70,75.40,23.00,0.10,3.60,
Hammersmith and Fulham - Avonmore and Brook Green,E05000252,1550,9750.00,1400.00,12.20,76.80,11.00,1.90,70.50,16.40,0.10,8.80,
Hammersmith and Fulham - College Park and Old Oak,E05000253,2100,7750.00,900.00,19.50,72.30,8.20,4.30,115.70,32.10,1.30,43.80,
Hammersmith and Fulham - Fulham Broadway,E05000254,1650,8750.00,1150.00,14.40,75.60,10.00,2.10,95.20,23.80,0.10,3.10,
Hammersmith and Fulham - Fulham Reach,E05000255,1550,9250.00,1000.00,13.10,78.40,8.50,1.60,98.60,31.20,0.10,20.90,
Hammersmith and Fulham - Hammersmith Broadway,E05000256,2000,9000.00,1250.00,16.30,73.40,10.40,2.40,224.90,51.00,0.10,9.10,
Hammersmith and Fulham - Munster,E05000257,1900,8250.00,1000.00,17.10,74.00,8.90,1.20,64.50,14.30,0.20,8.50,
Hammersmith and Fulham - North End,E05000258,1600,10150.00,850.00,12.80,80.50,6.70,1.80,64.60,18.50,0.40,10.70,
Hammersmith and Fulham - Palace Riverside,E05000259,1400,5050.00,1150.00,18.20,66.40,15.30,1.10,90.80,16.40,0.00,54.70,
Hammersmith and Fulham - Parsons Green and Walham,E05000260,2100,7550.00,1200.00,19.30,69.60,11.20,1.10,124.80,22.20,0.20,9.80,
Hammersmith and Fulham - Ravenscourt Park,E05000261,1950,7700.00,1350.00,17.70,70.10,12.20,1.90,101.10,19.70,0.20,16.30,
Hammersmith and Fulham - Sands End,E05000262,2550,9850.00,1150.00,18.90,72.60,8.60,2.70,69.60,21.30,0.10,25.00,
Hammersmith and Fulham - Shepherd's Bush Green,E05000263,2100,9850.00,1050.00,16.20,75.80,8.00,4.00,281.40,60.10,0.20,9.70,
Hammersmith and Fulham - Town,E05000264,2050,8450.00,900.00,17.90,74.30,7.80,2.00,100.70,22.40,0.10,0.00,
Hammersmith and Fulham - Wormholt and White City,E05000265,2950,9500.00,1300.00,21.50,69.10,9.40,6.10,71.90,25.80,0.10,4.60,
Haringey - Alexandra,E05000266,2450,8250.00,1350.00,20.40,68.40,11.30,1.40,63.60,10.00,0.20,52.20,
Haringey - Bounds Green,E05000267,2550,10500.00,1350.00,17.60,72.90,9.40,3.10,82.00,23.80,0.30,22.80,
Haringey - Bruce Grove,E05000268,3250,10500.00,1250.00,21.70,69.90,8.30,6.20,85.20,30.30,0.50,4.90,
Haringey - Crouch End,E05000269,2050,9400.00,1300.00,16.20,73.60,10.20,1.40,67.30,11.50,0.20,13.90,
